name,website,snippet,source,city_confirmed,segment,what_they_make,revenue_band,decision_maker,C1_manufacturer,C2_india_based,C3_differentiated,C4_technical_dm,C5_growing_sector,C6_growth_signals,federer_score,verdict,personalization_hook,notes,auto_flag
Ahammune Biosciences,ahammune.com,Small molecule therapeutics for Vitiligo,Research/Manual,Pune,Specialty Biotech,Small molecule therapeutics for Vitiligo,Rs.100-300Cr (Estimated based on Series A $8M),"Dr. Parul Ganju (PhD, Co-Founder)",Strong: Own R&D-to-production pipeline,Strong: HQ in Pune,Strong: Proprietary Vitiligo drug platform,Strong: Founder is a scientist with deep IP knowledge,Strong: Specialty pharma tailwinds,Strong: $8M Series A in late 2024,100,A - Strong Federer,Impressive to see the clinical progress on your small molecule candidate for Vitiligo repigmentation.,Verified Pune based manufacturer,PASS
WeInnovate Biosolutions,weinnovatebiosolutions.com,Antimicrobial medical devices & infection prevention,Research/Manual,Pune,Specialty Biotech,Antimicrobial medical devices & infection prevention,<Rs.30Cr,Milind Choudhari (Founder & CEO),Strong: Manufacturer of specialized medical solutions,Strong: Pune based,Strong: Patented antimicrobial technology,Strong: Founder has technical background in biotech,Strong: Medical devices and infection control tailwinds,Strong: Multiple industry awards and active pilots,100,A - Strong Federer,Your focus on reducing hospital-acquired infections through antimicrobial silver technology is a critical innovation.,Verified Pune based manufacturer,PASS
Dyna Biotech,dynabiotech.com,"Fermentors, Bioreactors and peripheral systems",Research/Manual,Pune,Life-science tools,"Fermentors, Bioreactors and peripheral systems",Rs.30-100Cr,"Dr. Vinodkumar Patil (Microbiologist, Founder)",Strong: Full in-house design and manufacturing facility,Strong: Pune (Bhosari) based,Strong: High-tech automated fermentors with customization,Strong: Founder has 25+ years experience in vaccine/biotech engineering,Strong: Biopharma manufacturing boom in India,Strong: Recent facility expansion and global supply deals,100,A - Strong Federer,Saw that Dyna Biotech is at the forefront of automated bioreactor manufacturing in Bhosari.,Verified Pune based manufacturer,PASS
Upscale Biotech LLP,upscalebiotech.com,Chromatography and TFF bioprocess equipment,Research/Manual,Pune,Life-science tools,Chromatography and TFF bioprocess equipment,<Rs.30Cr,Technical Founder (MSME),Strong: Own plant in Bhosari,Strong: Pune based,Moderate: Technical bioprocess equipment but competitive niche,Strong: Engineering-led leadership,Strong: Localized bioprocess equipment manufacturing,Moderate: Active website and news sections,85,A - Strong Federer,Great to see an Indian manufacturer providing locally engineered TFF solutions for the biopharma industry.,Verified Pune based manufacturer,PASS
OmniBRx Biotechnologies,omnibrx.com,Single-use bioreactors for vaccines and biologics,Research/Manual,Pune,Life-science tools,Single-use bioreactors for vaccines and biologics,<Rs.30Cr,Ravindra Patel (Founder),Strong: Manufacturing innovative upstream solutions,"Strong: Incubated at Venture Center, Pune hub presence",Strong: Patented single-use technology,Strong: Founder with technical bioprocess expertise,Strong: Global shift to single-use biomanufacturing,Strong: Series A funding of $5.4M recently,100,A - Strong Federer,The modular design of your single-use bioreactors for vaccine production is exactly what the 'Make in India' initiative needs.,Verified Pune based manufacturer,PASS
Orthocrafts Innovations Pvt Ltd,orthocrafts.com,Bioabsorbable implants for soft-tissue repair,Research/Manual,Pune,Specialty Biotech,Bioabsorbable implants for soft-tissue repair,<Rs.30Cr,"Premnath Venugopalan (Co-founder, PhD)",Strong: Developing high molecular weight implants in-house,Strong: Pune based,Strong: Proprietary bioabsorbable polymer technology,Strong: Founder is a scientist (PhD) and incubation leader,Strong: Growing orthopedic implants market,Strong: DSIR recognition and active R&D,100,A - Strong Federer,The tunable degradation profiles of your Orthocrafts polymers represent a significant leap in soft-tissue repair technology.,Verified Pune based manufacturer,PASS
30M Genomics,30mgenomics.com,Ultra-portable PCR machines and DNA extraction reagents,Research/Manual,Pune,Specialty Diagnostics,Ultra-portable PCR machines and DNA extraction reagents,<Rs.30Cr,Dr. Benet Dhas (CEO & Founder),Strong: Manufactures miniDNA Labs in-house,Strong: Pune-incubated hub,Strong: 5-second DNA extraction patent and portable PCR,Strong: Founder is a PhD researcher,Strong: Point-of-care molecular diagnostics growth,Strong: Multiple seed rounds and product launches,100,A - Strong Federer,A 5-second DNA extraction process combined with ultra-portable PCR could completely democratize genetic testing.,Verified Pune based manufacturer,PASS
Adiuvo Diagnostics,adiuvodiagnostics.com,AI-enabled multispectral imaging for wound infections,Research/Manual,Pune,Specialty Diagnostics,AI-enabled multispectral imaging for wound infections,<Rs.30Cr,"Geethanjali Radhakrishnan (Founder, Bioengineer)",Strong: Developing and manufacturing proprietary Illuminate device,Strong: Presence in Pune ecosystem,Strong: World's first AI-enabled non-contact wound screening,Strong: Founder is a bioengineer and award-winning innovator,Strong: Digital health and smart diagnostics,Strong: Qualcomm Challenge winner and active global expansion,100,A - Strong Federer,Your Illuminate device’s ability to detect pathogens label-free using autofluorescence is a game-changer for wound care.,Verified Pune based manufacturer,PASS
Annotation Healthcare pvt ltd,annotation.co.in,Biological heart valves and regenerative soft-tissue implants,Research/Manual,Pune,Specialty Biotech,Biological heart valves and regenerative soft-tissue implants,<Rs.30Cr,"Dr. Sasmita Samal (Founder, PhD)",Strong: In-house tissue engineering platform (TxGuard),Strong: Pune based incubator,Strong: Implants that grow with patients and resist calcification,Strong: Scientist-led with deep regenerative medicine background,Strong: High-tech cardiovascular medical devices,Strong: Active R&D and clinical focus,100,A - Strong Federer,Creating biological implants that grow with the patient via the TxGuard platform addresses a massive unmet need in pediatric cardiac care.,Verified Pune based manufacturer,PASS
Proleri Technologies Pvt Ltd,proleri.com,RuBisCo protein isolates from agricultural leaf biomass,Research/Manual,Pune,Specialty Food Biotech,RuBisCo protein isolates from agricultural leaf biomass,<Rs.30Cr,Arjun Ayyagari (Co-Founder),Strong: Innovative extraction platform for protein production,Strong: Pune based (Venture Center),Strong: First in Asia to extract leaf-based RuBisCo,Strong: Technically led by food-tech specialists,Strong: Alternative protein and clean label sector,Strong: Patented technology and active sustainable sourcing,100,A - Strong Federer,Unlocking RuBisCo from leaf biomass as a sustainable protein alternative is a bold and necessary move for the food industry.,Verified Pune based manufacturer,PASS
Papyrus Diagnostics Pvt Ltd,papyrusdx.com,Paper-based diagnostics for drug-resistant infections (AMR),Research/Manual,Pune,Specialty Diagnostics,Paper-based diagnostics for drug-resistant infections (AMR),<Rs.30Cr,Venkata Subramanian (Founder),Strong: Manufacturing low-cost paper diagnostic kits,Strong: Presence in Pune incubator,Strong: Rapid UTI diagnostic that identifies resistance in under an hour,Strong: Technically focused founding team,Strong: Global priority on AMR diagnostics,Strong: Active product testing and recent funding,100,A - Strong Federer,Detecting drug-resistant UTIs in under an hour with a paper-based test could significantly reduce diagnostic delays.,Verified Pune based manufacturer,PASS
MedTrion Technologies Pvt Ltd,medtrion.com,Integrated diagnostic devices for underserved populations,Research/Manual,Pune,Specialty Diagnostics,Integrated diagnostic devices for underserved populations,<Rs.30Cr,Shashank Shankar (Founder),Strong: Development and assembly of digital health devices,Strong: Pune based,Moderate: Digital health platforms with hardware integration,Moderate: Engineering background with clinical focus,Strong: Care access and digital health tailwinds,Strong: Multiple pilot deployments in underserved areas,85,A - Strong Federer,Your focus on reaching underserved communities through integrated digital health platforms is a highly scalable mission.,Verified Pune based manufacturer,PASS
ForschMedX Pvt Ltd,forschmedx.com,Automated respiratory care and airway suctioning systems,Research/Manual,Pune,Specialty MedTech,Automated respiratory care and airway suctioning systems,<Rs.30Cr,Abhishek Gaikar (Founder),Strong: Manufacturing TrachEase IoT-enabled medical device,Strong: Pune/Mumbai based,Strong: Automated suctioning to reduce ventilator-associated pneumonia,Strong: Engineering background with clinical insight,Strong: Critical care and IoT medical device growth,Strong: Active prototyping and hospital collaborations,100,A - Strong Federer,TrachEase addressing ventilator-associated pneumonia through automated suctioning is a critical intervention for ICU safety.,Verified Pune based manufacturer,PASS
Diagopreutic Pvt Ltd,diagopreutic.co.in,Enzymatic diagnostics for rapid pathogen identity and AMR,Research/Manual,Pune,Specialty Diagnostics,Enzymatic diagnostics for rapid pathogen identity and AMR,<Rs.30Cr,"Dr. Roshan Naik (Founder, PhD)",Strong: In-house development of enzymatic diagnostic kits,Strong: Pune based,Strong: Profiling infectious pathogens via enzymatic activity with high speed,Strong: Founder is a PhD in Neurobiology and diagnostic expert,Strong: AMR diagnostic tailwinds,Strong: Actively presenting at global biotech forums,100,A - Strong Federer,The speed and precision of your enzymatic-based diagnostics for profiling infectious pathogens are truly impressive.,Verified Pune based manufacturer,PASS
Lifespark Technologies Pvt Ltd,lifesparktech.com,Wearable 'WALK' device for Parkinson's gait management,Research/Manual,Pune,Specialty MedTech,Wearable 'WALK' device for Parkinson's gait management,<Rs.30Cr,Amey Desai (Founder & CEO),Strong: Designing and manufacturing personalized gait-assist devices,Strong: Pune hub incubator,Strong: AI-enabled personalized balance management wearable,Strong: Engineering-led leadership (IIT Bombay background),Strong: Neuro-rehab and wearable tech growth,Strong: Recent funding and multiple clinical partnerships,100,A - Strong Federer,Your WALK device’s ability to manage gait and balance for Parkinson’s patients is a vital advancement in neuro-rehabilitation.,Verified Pune based manufacturer,PASS
